map,card,map_elo_delta,other_maps_elo_delta,difference,approx_standard_error,approx_z_score,map_offers,other_maps_offers
Tharsis,Mineral Deposit,0.06451759745378194,-0.15568169139148874,0.22019928884527068,0.18438803248860597,1.1942168147972272,4539,4346
Tharsis,Mining Area,1.123932277764369,1.1230371539630506,0.0008951238013183982,0.17906840943313945,0.00499878121524623,4527,4396
Tharsis,Mining Expedition,-0.27977807659691845,-0.5180412819082345,0.23826320531131606,0.18255206282897357,1.305179473838848,4650,4303
Tharsis,Mining Rights,1.1590480668827328,1.155279192179611,0.003768874703121705,0.17872472540795825,0.021087595432130873,4607,4500
Tharsis,Miranda Resort,0.053379559217263874,0.10856393640776867,-0.05518437719050479,0.1835183725898407,-0.3007021935282774,4590,4418
Tharsis,Mohole Area,0.8869024317623104,0.19345552628633966,0.6934469054759708,0.18024010750707226,3.8473507093794943,4661,4310
Tharsis,Moss,-0.4999916870465107,-0.2297771105329487,-0.270214576513562,0.1818656012224862,-1.4857926661072844,4619,4387
Tharsis,Natural Preserve,0.8263347238510511,0.98355705896835,-0.15722233511729888,0.18379773124082324,-0.855409552968292,4551,4369
Tharsis,Nitrite Reducing Bacteria,-0.31974278913728266,-0.3022714113487083,-0.017471377788574383,0.18405903633171095,-0.09492268424728406,4522,4308
Tharsis,Nitrogen-Rich Asteroid,0.7855819063049071,0.5684306520336257,0.21715125427128135,0.18302818893752404,1.1864361196591695,4377,4384
Tharsis,Nitrophilic Moss,0.1594042621484585,-0.2197458253560447,0.3791500875045032,0.18402438319156347,2.0603252728189836,4518,4277
Tharsis,Noctis City,-0.24055151716229073,-0.2086204577620458,-0.03193105940024493,0.18137576308874934,-0.1760492077688499,4741,4285
Tharsis,Noctis Farming,-0.29964870611537275,-0.2919052330943455,-0.007743473021027236,0.18105303984124038,-0.04276908594198275,4578,4289
Tharsis,Nuclear Power,-0.36845908798142946,-0.3763532660542791,0.007894178072849645,0.18270710595064882,0.04320673808375,4595,4190
Tharsis,Nuclear Zone,0.968258140528528,1.4981896365739265,-0.5299314960453985,0.18025595420043022,-2.939883447379258,4609,4433
Tharsis,Olympus Conference,0.6667143850416228,1.0331141663943322,-0.36639978135270934,0.18510112326484,-1.9794573630353927,4496,4266
Tharsis,Open City,-0.37931640586707827,-0.5760398075866894,0.1967234017196111,0.18272431077917212,1.0766131823441782,4565,4279
